url,region,job_name,district
https://mobile.craigslist.org//search/acc,mobile,accounting+finance,
https://mobile.craigslist.org//search/ofc,mobile,admin / office,
https://mobile.craigslist.org//search/egr,mobile,arch / engineering,
https://mobile.craigslist.org//search/med,mobile,art / media / design,
https://mobile.craigslist.org//search/sci,mobile,biotech / science,
https://mobile.craigslist.org//search/bus,mobile,business / mgmt,
https://mobile.craigslist.org//search/csr,mobile,customer service,
https://mobile.craigslist.org//search/edu,mobile,education,
https://mobile.craigslist.org//search/fbh,mobile,food / bev / hosp,
https://mobile.craigslist.org//search/lab,mobile,general labor,
https://mobile.craigslist.org//search/gov,mobile,government,
https://mobile.craigslist.org//search/hum,mobile,human resources,
https://mobile.craigslist.org//search/eng,mobile,internet engineers,
https://mobile.craigslist.org//search/lgl,mobile,legal  /  paralegal,
https://mobile.craigslist.org//search/mnu,mobile,manufacturing,
https://mobile.craigslist.org//search/mar,mobile,marketing / pr / ad,
https://mobile.craigslist.org//search/hea,mobile,medical / health,
https://mobile.craigslist.org//search/npo,mobile,nonprofit sector,
https://mobile.craigslist.org//search/rej,mobile,real estate,
https://mobile.craigslist.org//search/ret,mobile,retail / wholesale,
https://mobile.craigslist.org//search/sls,mobile,sales / biz dev,
https://mobile.craigslist.org//search/spa,mobile,salon / spa / fitness,
https://mobile.craigslist.org//search/sec,mobile,security,
https://mobile.craigslist.org//search/trd,mobile,skilled trade / craft,
https://mobile.craigslist.org//search/sof,mobile,software / qa / dba,
https://mobile.craigslist.org//search/sad,mobile,systems / network,
https://mobile.craigslist.org//search/tch,mobile,technical support,
https://mobile.craigslist.org//search/trp,mobile,transport,
https://mobile.craigslist.org//search/tfr,mobile,tv / film / video,
https://mobile.craigslist.org//search/web,mobile,web / info design,
https://mobile.craigslist.org//search/wri,mobile,writing / editing,
https://mobile.craigslist.org//search/etc,mobile,[ETC],
https://mobile.craigslist.org//search/jjj?employment_type=2,mobile,[ part-time ],
https://gadsden.craigslist.org//search/acc,gadsden,accounting+finance,
https://gadsden.craigslist.org//search/ofc,gadsden,admin / office,
https://gadsden.craigslist.org//search/egr,gadsden,arch / engineering,
https://gadsden.craigslist.org//search/med,gadsden,art / media / design,
https://gadsden.craigslist.org//search/sci,gadsden,biotech / science,
https://gadsden.craigslist.org//search/bus,gadsden,business / mgmt,
https://gadsden.craigslist.org//search/csr,gadsden,customer service,
https://gadsden.craigslist.org//search/edu,gadsden,education,
https://gadsden.craigslist.org//search/fbh,gadsden,food / bev / hosp,
https://gadsden.craigslist.org//search/lab,gadsden,general labor,
https://gadsden.craigslist.org//search/gov,gadsden,government,
https://gadsden.craigslist.org//search/hum,gadsden,human resources,
https://gadsden.craigslist.org//search/eng,gadsden,internet engineers,
https://gadsden.craigslist.org//search/lgl,gadsden,legal  /  paralegal,
https://gadsden.craigslist.org//search/mnu,gadsden,manufacturing,
https://gadsden.craigslist.org//search/mar,gadsden,marketing / pr / ad,
https://gadsden.craigslist.org//search/hea,gadsden,medical / health,
https://gadsden.craigslist.org//search/npo,gadsden,nonprofit sector,
https://gadsden.craigslist.org//search/rej,gadsden,real estate,
