Region,District,State,StateCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
annapolis,NA,Annapolis,AK,https://annapolis.craigslist.org/search/acc,https://annapolis.craigslist.org/search/ofc,https://annapolis.craigslist.org/search/egr,https://annapolis.craigslist.org/search/med,https://annapolis.craigslist.org/search/sci,https://annapolis.craigslist.org/search/bus,https://annapolis.craigslist.org/search/csr,https://annapolis.craigslist.org/search/edu,https://annapolis.craigslist.org/search/fbh,https://annapolis.craigslist.org/search/lab,https://annapolis.craigslist.org/search/gov,https://annapolis.craigslist.org/search/hum,https://annapolis.craigslist.org/search/eng,https://annapolis.craigslist.org/search/lgl,https://annapolis.craigslist.org/search/mnu,https://annapolis.craigslist.org/search/mar,https://annapolis.craigslist.org/search/hea,https://annapolis.craigslist.org/search/npo,https://annapolis.craigslist.org/search/rej,https://annapolis.craigslist.org/search/ret,https://annapolis.craigslist.org/search/sls,https://annapolis.craigslist.org/search/spa,https://annapolis.craigslist.org/search/sec,https://annapolis.craigslist.org/search/trd,https://annapolis.craigslist.org/search/sof,https://annapolis.craigslist.org/search/sad,https://annapolis.craigslist.org/search/tch,https://annapolis.craigslist.org/search/trp,https://annapolis.craigslist.org/search/tfr,https://annapolis.craigslist.org/search/web,https://annapolis.craigslist.org/search/wri,https://annapolis.craigslist.org/search/etc,https://annapolis.craigslist.org/search/jjj?employment_type=2
appleton,NA,Wisconsin,WI,https://appleton.craigslist.org/search/acc,https://appleton.craigslist.org/search/ofc,https://appleton.craigslist.org/search/egr,https://appleton.craigslist.org/search/med,https://appleton.craigslist.org/search/sci,https://appleton.craigslist.org/search/bus,https://appleton.craigslist.org/search/csr,https://appleton.craigslist.org/search/edu,https://appleton.craigslist.org/search/fbh,https://appleton.craigslist.org/search/lab,https://appleton.craigslist.org/search/gov,https://appleton.craigslist.org/search/hum,https://appleton.craigslist.org/search/eng,https://appleton.craigslist.org/search/lgl,https://appleton.craigslist.org/search/mnu,https://appleton.craigslist.org/search/mar,https://appleton.craigslist.org/search/hea,https://appleton.craigslist.org/search/npo,https://appleton.craigslist.org/search/rej,https://appleton.craigslist.org/search/ret,https://appleton.craigslist.org/search/sls,https://appleton.craigslist.org/search/spa,https://appleton.craigslist.org/search/sec,https://appleton.craigslist.org/search/trd,https://appleton.craigslist.org/search/sof,https://appleton.craigslist.org/search/sad,https://appleton.craigslist.org/search/tch,https://appleton.craigslist.org/search/trp,https://appleton.craigslist.org/search/tfr,https://appleton.craigslist.org/search/web,https://appleton.craigslist.org/search/wri,https://appleton.craigslist.org/search/etc,https://appleton.craigslist.org/search/jjj?employment_type=2
asheville,NA,North Carolina,NC,https://asheville.craigslist.org/search/acc,https://asheville.craigslist.org/search/ofc,https://asheville.craigslist.org/search/egr,https://asheville.craigslist.org/search/med,https://asheville.craigslist.org/search/sci,https://asheville.craigslist.org/search/bus,https://asheville.craigslist.org/search/csr,https://asheville.craigslist.org/search/edu,https://asheville.craigslist.org/search/fbh,https://asheville.craigslist.org/search/lab,https://asheville.craigslist.org/search/gov,https://asheville.craigslist.org/search/hum,https://asheville.craigslist.org/search/eng,https://asheville.craigslist.org/search/lgl,https://asheville.craigslist.org/search/mnu,https://asheville.craigslist.org/search/mar,https://asheville.craigslist.org/search/hea,https://asheville.craigslist.org/search/npo,https://asheville.craigslist.org/search/rej,https://asheville.craigslist.org/search/ret,https://asheville.craigslist.org/search/sls,https://asheville.craigslist.org/search/spa,https://asheville.craigslist.org/search/sec,https://asheville.craigslist.org/search/trd,https://asheville.craigslist.org/search/sof,https://asheville.craigslist.org/search/sad,https://asheville.craigslist.org/search/tch,https://asheville.craigslist.org/search/trp,https://asheville.craigslist.org/search/tfr,https://asheville.craigslist.org/search/web,https://asheville.craigslist.org/search/wri,https://asheville.craigslist.org/search/etc,https://asheville.craigslist.org/search/jjj?employment_type=2
ashtabula,NA,Ohio,OH,https://ashtabula.craigslist.org/search/acc,https://ashtabula.craigslist.org/search/ofc,https://ashtabula.craigslist.org/search/egr,https://ashtabula.craigslist.org/search/med,https://ashtabula.craigslist.org/search/sci,https://ashtabula.craigslist.org/search/bus,https://ashtabula.craigslist.org/search/csr,https://ashtabula.craigslist.org/search/edu,https://ashtabula.craigslist.org/search/fbh,https://ashtabula.craigslist.org/search/lab,https://ashtabula.craigslist.org/search/gov,https://ashtabula.craigslist.org/search/hum,https://ashtabula.craigslist.org/search/eng,https://ashtabula.craigslist.org/search/lgl,https://ashtabula.craigslist.org/search/mnu,https://ashtabula.craigslist.org/search/mar,https://ashtabula.craigslist.org/search/hea,https://ashtabula.craigslist.org/search/npo,https://ashtabula.craigslist.org/search/rej,https://ashtabula.craigslist.org/search/ret,https://ashtabula.craigslist.org/search/sls,https://ashtabula.craigslist.org/search/spa,https://ashtabula.craigslist.org/search/sec,https://ashtabula.craigslist.org/search/trd,https://ashtabula.craigslist.org/search/sof,https://ashtabula.craigslist.org/search/sad,https://ashtabula.craigslist.org/search/tch,https://ashtabula.craigslist.org/search/trp,https://ashtabula.craigslist.org/search/tfr,https://ashtabula.craigslist.org/search/web,https://ashtabula.craigslist.org/search/wri,https://ashtabula.craigslist.org/search/etc,https://ashtabula.craigslist.org/search/jjj?employment_type=2
athensga,NA,Georgia,GA,https://athensga.craigslist.org/search/acc,https://athensga.craigslist.org/search/ofc,https://athensga.craigslist.org/search/egr,https://athensga.craigslist.org/search/med,https://athensga.craigslist.org/search/sci,https://athensga.craigslist.org/search/bus,https://athensga.craigslist.org/search/csr,https://athensga.craigslist.org/search/edu,https://athensga.craigslist.org/search/fbh,https://athensga.craigslist.org/search/lab,https://athensga.craigslist.org/search/gov,https://athensga.craigslist.org/search/hum,https://athensga.craigslist.org/search/eng,https://athensga.craigslist.org/search/lgl,https://athensga.craigslist.org/search/mnu,https://athensga.craigslist.org/search/mar,https://athensga.craigslist.org/search/hea,https://athensga.craigslist.org/search/npo,https://athensga.craigslist.org/search/rej,https://athensga.craigslist.org/search/ret,https://athensga.craigslist.org/search/sls,https://athensga.craigslist.org/search/spa,https://athensga.craigslist.org/search/sec,https://athensga.craigslist.org/search/trd,https://athensga.craigslist.org/search/sof,https://athensga.craigslist.org/search/sad,https://athensga.craigslist.org/search/tch,https://athensga.craigslist.org/search/trp,https://athensga.craigslist.org/search/tfr,https://athensga.craigslist.org/search/web,https://athensga.craigslist.org/search/wri,https://athensga.craigslist.org/search/etc,https://athensga.craigslist.org/search/jjj?employment_type=2
athensohio,NA,Ohio,OH,https://athensohio.craigslist.org/search/acc,https://athensohio.craigslist.org/search/ofc,https://athensohio.craigslist.org/search/egr,https://athensohio.craigslist.org/search/med,https://athensohio.craigslist.org/search/sci,https://athensohio.craigslist.org/search/bus,https://athensohio.craigslist.org/search/csr,https://athensohio.craigslist.org/search/edu,https://athensohio.craigslist.org/search/fbh,https://athensohio.craigslist.org/search/lab,https://athensohio.craigslist.org/search/gov,https://athensohio.craigslist.org/search/hum,https://athensohio.craigslist.org/search/eng,https://athensohio.craigslist.org/search/lgl,https://athensohio.craigslist.org/search/mnu,https://athensohio.craigslist.org/search/mar,https://athensohio.craigslist.org/search/hea,https://athensohio.craigslist.org/search/npo,https://athensohio.craigslist.org/search/rej,https://athensohio.craigslist.org/search/ret,https://athensohio.craigslist.org/search/sls,https://athensohio.craigslist.org/search/spa,https://athensohio.craigslist.org/search/sec,https://athensohio.craigslist.org/search/trd,https://athensohio.craigslist.org/search/sof,https://athensohio.craigslist.org/search/sad,https://athensohio.craigslist.org/search/tch,https://athensohio.craigslist.org/search/trp,https://athensohio.craigslist.org/search/tfr,https://athensohio.craigslist.org/search/web,https://athensohio.craigslist.org/search/wri,https://athensohio.craigslist.org/search/etc,https://athensohio.craigslist.org/search/jjj?employment_type=2
atlanta,NA,Georgia,GA,https://atlanta.craigslist.org/search/acc,https://atlanta.craigslist.org/search/ofc,https://atlanta.craigslist.org/search/egr,https://atlanta.craigslist.org/search/med,https://atlanta.craigslist.org/search/sci,https://atlanta.craigslist.org/search/bus,https://atlanta.craigslist.org/search/csr,https://atlanta.craigslist.org/search/edu,https://atlanta.craigslist.org/search/fbh,https://atlanta.craigslist.org/search/lab,https://atlanta.craigslist.org/search/gov,https://atlanta.craigslist.org/search/hum,https://atlanta.craigslist.org/search/eng,https://atlanta.craigslist.org/search/lgl,https://atlanta.craigslist.org/search/mnu,https://atlanta.craigslist.org/search/mar,https://atlanta.craigslist.org/search/hea,https://atlanta.craigslist.org/search/npo,https://atlanta.craigslist.org/search/rej,https://atlanta.craigslist.org/search/ret,https://atlanta.craigslist.org/search/sls,https://atlanta.craigslist.org/search/spa,https://atlanta.craigslist.org/search/sec,https://atlanta.craigslist.org/search/trd,https://atlanta.craigslist.org/search/sof,https://atlanta.craigslist.org/search/sad,https://atlanta.craigslist.org/search/tch,https://atlanta.craigslist.org/search/trp,https://atlanta.craigslist.org/search/tfr,https://atlanta.craigslist.org/search/web,https://atlanta.craigslist.org/search/wri,https://atlanta.craigslist.org/search/etc,https://atlanta.craigslist.org/search/jjj?employment_type=2
atlanta,atl,Georgia,GA,https://atlanta.craigslist.org/search/atl/acc,https://atlanta.craigslist.org/search/atl/ofc,https://atlanta.craigslist.org/search/atl/egr,https://atlanta.craigslist.org/search/atl/med,https://atlanta.craigslist.org/search/atl/sci,https://atlanta.craigslist.org/search/atl/bus,https://atlanta.craigslist.org/search/atl/csr,https://atlanta.craigslist.org/search/atl/edu,https://atlanta.craigslist.org/search/atl/fbh,https://atlanta.craigslist.org/search/atl/lab,https://atlanta.craigslist.org/search/atl/gov,https://atlanta.craigslist.org/search/atl/hum,https://atlanta.craigslist.org/search/atl/eng,https://atlanta.craigslist.org/search/atl/lgl,https://atlanta.craigslist.org/search/atl/mnu,https://atlanta.craigslist.org/search/atl/mar,https://atlanta.craigslist.org/search/atl/hea,https://atlanta.craigslist.org/search/atl/npo,https://atlanta.craigslist.org/search/atl/rej,https://atlanta.craigslist.org/search/atl/ret,https://atlanta.craigslist.org/search/atl/sls,https://atlanta.craigslist.org/search/atl/spa,https://atlanta.craigslist.org/search/atl/sec,https://atlanta.craigslist.org/search/atl/trd,https://atlanta.craigslist.org/search/atl/sof,https://atlanta.craigslist.org/search/atl/sad,https://atlanta.craigslist.org/search/atl/tch,https://atlanta.craigslist.org/search/atl/trp,https://atlanta.craigslist.org/search/atl/tfr,https://atlanta.craigslist.org/search/atl/web,https://atlanta.craigslist.org/search/atl/wri,https://atlanta.craigslist.org/search/atl/etc,https://atlanta.craigslist.org/search/atl/jjj?employment_type=2
atlanta,nat,Georgia,GA,https://atlanta.craigslist.org/search/nat/acc,https://atlanta.craigslist.org/search/nat/ofc,https://atlanta.craigslist.org/search/nat/egr,https://atlanta.craigslist.org/search/nat/med,https://atlanta.craigslist.org/search/nat/sci,https://atlanta.craigslist.org/search/nat/bus,https://atlanta.craigslist.org/search/nat/csr,https://atlanta.craigslist.org/search/nat/edu,https://atlanta.craigslist.org/search/nat/fbh,https://atlanta.craigslist.org/search/nat/lab,https://atlanta.craigslist.org/search/nat/gov,https://atlanta.craigslist.org/search/nat/hum,https://atlanta.craigslist.org/search/nat/eng,https://atlanta.craigslist.org/search/nat/lgl,https://atlanta.craigslist.org/search/nat/mnu,https://atlanta.craigslist.org/search/nat/mar,https://atlanta.craigslist.org/search/nat/hea,https://atlanta.craigslist.org/search/nat/npo,https://atlanta.craigslist.org/search/nat/rej,https://atlanta.craigslist.org/search/nat/ret,https://atlanta.craigslist.org/search/nat/sls,https://atlanta.craigslist.org/search/nat/spa,https://atlanta.craigslist.org/search/nat/sec,https://atlanta.craigslist.org/search/nat/trd,https://atlanta.craigslist.org/search/nat/sof,https://atlanta.craigslist.org/search/nat/sad,https://atlanta.craigslist.org/search/nat/tch,https://atlanta.craigslist.org/search/nat/trp,https://atlanta.craigslist.org/search/nat/tfr,https://atlanta.craigslist.org/search/nat/web,https://atlanta.craigslist.org/search/nat/wri,https://atlanta.craigslist.org/search/nat/etc,https://atlanta.craigslist.org/search/nat/jjj?employment_type=2
atlanta,eat,Georgia,GA,https://atlanta.craigslist.org/search/eat/acc,https://atlanta.craigslist.org/search/eat/ofc,https://atlanta.craigslist.org/search/eat/egr,https://atlanta.craigslist.org/search/eat/med,https://atlanta.craigslist.org/search/eat/sci,https://atlanta.craigslist.org/search/eat/bus,https://atlanta.craigslist.org/search/eat/csr,https://atlanta.craigslist.org/search/eat/edu,https://atlanta.craigslist.org/search/eat/fbh,https://atlanta.craigslist.org/search/eat/lab,https://atlanta.craigslist.org/search/eat/gov,https://atlanta.craigslist.org/search/eat/hum,https://atlanta.craigslist.org/search/eat/eng,https://atlanta.craigslist.org/search/eat/lgl,https://atlanta.craigslist.org/search/eat/mnu,https://atlanta.craigslist.org/search/eat/mar,https://atlanta.craigslist.org/search/eat/hea,https://atlanta.craigslist.org/search/eat/npo,https://atlanta.craigslist.org/search/eat/rej,https://atlanta.craigslist.org/search/eat/ret,https://atlanta.craigslist.org/search/eat/sls,https://atlanta.craigslist.org/search/eat/spa,https://atlanta.craigslist.org/search/eat/sec,https://atlanta.craigslist.org/search/eat/trd,https://atlanta.craigslist.org/search/eat/sof,https://atlanta.craigslist.org/search/eat/sad,https://atlanta.craigslist.org/search/eat/tch,https://atlanta.craigslist.org/search/eat/trp,https://atlanta.craigslist.org/search/eat/tfr,https://atlanta.craigslist.org/search/eat/web,https://atlanta.craigslist.org/search/eat/wri,https://atlanta.craigslist.org/search/eat/etc,https://atlanta.craigslist.org/search/eat/jjj?employment_type=2
